Day,Species,Counts,Dilution,Antibiotic,Replicate,Initial
2,Ca,2,6,Chl,3,Ca
2,Ca,0,6,Chl,1,Lp
2,Ca,0,6,Chl,2,Lp
2,Ca,0,6,Chl,3,Lp
2,Lp,41,2,Chl,1,Ca
2,Lp,55,2,Chl,2,Ca
2,Lp,50,2,Chl,3,Ca
2,Lp,15,5,Chl,1,Lp
2,Lp,12,5,Chl,2,Lp
2,Lp,8,5,Chl,3,Lp
2,Ca,4,6,Cip,1,Ca
2,Ca,13,6,Cip,2,Ca
2,Ca,10,6,Cip,3,Ca
2,Ca,0,6,Cip,1,Lp
2,Ca,0,6,Cip,2,Lp
2,Ca,0,6,Cip,3,Lp
2,Lp,45,2,Cip,1,Ca
2,Lp,40,2,Cip,2,Ca
2,Lp,30,2,Cip,3,Ca
2,Lp,12,5,Cip,1,Lp
2,Lp,15,5,Cip,2,Lp
2,Lp,9,5,Cip,3,Lp
2,Ca,8,6,Gent,1,Ca
2,Ca,8,6,Gent,2,Ca
2,Ca,6,6,Gent,3,Ca
2,Ca,0,6,Gent,1,Lp
2,Ca,0,6,Gent,2,Lp
2,Ca,0,6,Gent,3,Lp
2,Lp,48,2,Gent,1,Ca
2,Lp,29,2,Gent,2,Ca
2,Lp,40,2,Gent,3,Ca
2,Lp,13,5,Gent,1,Lp
2,Lp,12,5,Gent,2,Lp
2,Lp,14,5,Gent,3,Lp
2,Ca,7,6,Kan,1,Ca
2,Ca,4,6,Kan,2,Ca
2,Ca,8,6,Kan,3,Ca
2,Ca,0,6,Kan,1,Lp
2,Ca,0,6,Kan,2,Lp
2,Ca,0,6,Kan,3,Lp
2,Lp,39,2,Kan,1,Ca
2,Lp,38,2,Kan,2,Ca
2,Lp,31,2,Kan,3,Ca
2,Lp,16,5,Kan,1,Lp
2,Lp,17,5,Kan,2,Lp
2,Lp,10,5,Kan,3,Lp
2,Ca,2.3,6,Tet,1,Ca
2,Ca,5,6,Tet,2,Ca
2,Ca,3,6,Tet,3,Ca
2,Ca,0,6,Tet,1,Lp
2,Ca,0,6,Tet,2,Lp
2,Ca,0,6,Tet,3,Lp
2,Lp,2,5,Tet,1,Ca
2,Lp,60,2,Tet,2,Ca
2,Lp,55,2,Tet,3,Ca
2,Lp,17,5,Tet,1,Lp
2,Lp,9,5,Tet,2,Lp
2,Lp,6,5,Tet,3,Lp
2,Ca,4,6,Ery,1,Ca
2,Lp,17,2,Ery,1,Ca
2,Ca,0,3,Ery,1,Lp
2,Lp,18,5,Ery,1,Lp
2,Ca,7,6,Ery,2,Ca
2,Lp,50,2,Ery,2,Ca
2,Ca,0,3,Ery,2,Lp
2,Lp,11,5,Ery,2,Lp
2,Ca,4,6,Ery,3,Ca
2,Lp,40,2,Ery,3,Ca
2,Ca,0,3,Ery,3,Lp
2,Lp,15,5,Ery,3,Lp
3,Ca,5,6,Amp,1,Ca
3,Ca,9,6,Amp,2,Ca
3,Ca,7,6,Amp,3,Ca
3,Ca,0,6,Amp,1,Lp
3,Ca,0,6,Amp,2,Lp
3,Ca,0,6,Amp,3,Lp
3,Lp,15,2,Amp,1,Ca
3,Lp,19,2,Amp,2,Ca
3,Lp,15,2,Amp,3,Ca
3,Lp,25,5,Amp,1,Lp
3,Lp,20,5,Amp,2,Lp
3,Lp,18,5,Amp,3,Lp
3,Ca,13,6,Car,1,Ca
3,Ca,15,6,Car,2,Ca
3,Ca,13,6,Car,3,Ca
3,Ca,0,6,Car,1,Lp
3,Ca,0,6,Car,2,Lp
3,Ca,0,6,Car,3,Lp
3,Lp,19,2,Car,1,Ca
3,Lp,17,2,Car,2,Ca
3,Lp,19,2,Car,3,Ca
3,Lp,26,5,Car,1,Lp
3,Lp,21,5,Car,2,Lp
3,Lp,17,5,Car,3,Lp
3,Ca,14,6,Chl,1,Ca
3,Ca,14,6,Chl,2,Ca
3,Ca,16,6,Chl,3,Ca
3,Ca,0,6,Chl,1,Lp
3,Ca,0,6,Chl,2,Lp
3,Ca,0,6,Chl,3,Lp
3,Lp,11,2,Chl,1,Ca
3,Lp,17,2,Chl,2,Ca
3,Lp,11,2,Chl,3,Ca
3,Lp,16,5,Chl,1,Lp
3,Lp,20,5,Chl,2,Lp
3,Lp,19,5,Chl,3,Lp
3,Ca,15,6,Cip,1,Ca
3,Ca,8,6,Cip,2,Ca
3,Ca,8,6,Cip,3,Ca
3,Ca,0,6,Cip,1,Lp
3,Ca,0,6,Cip,2,Lp
3,Ca,0,6,Cip,3,Lp
3,Lp,17,2,Cip,1,Ca
3,Lp,12,2,Cip,2,Ca
3,Lp,17,2,Cip,3,Ca
3,Lp,23,5,Cip,1,Lp
3,Lp,30,5,Cip,2,Lp
3,Lp,25,5,Cip,3,Lp
3,Ca,10,6,Gent,1,Ca
3,Ca,15,6,Gent,2,Ca
3,Ca,14,6,Gent,3,Ca
3,Ca,0,6,Gent,1,Lp
3,Ca,0,6,Gent,2,Lp
3,Ca,0,6,Gent,3,Lp
3,Lp,12,2,Gent,1,Ca
3,Lp,13,2,Gent,2,Ca
3,Lp,12,2,Gent,3,Ca
3,Lp,30,5,Gent,1,Lp
3,Lp,25,5,Gent,2,Lp
3,Lp,20,5,Gent,3,Lp
3,Ca,12,6,Kan,1,Ca
3,Ca,7,6,Kan,2,Ca
3,Ca,16,6,Kan,3,Ca
3,Ca,0,6,Kan,1,Lp
3,Ca,0,6,Kan,2,Lp
3,Ca,0,6,Kan,3,Lp
3,Lp,17,2,Kan,1,Ca
3,Lp,19,2,Kan,2,Ca
3,Lp,17,2,Kan,3,Ca
3,Lp,18,5,Kan,1,Lp
3,Lp,23,5,Kan,2,Lp
3,Lp,17,5,Kan,3,Lp
3,Ca,18,6,Tet,1,Ca
3,Ca,14,6,Tet,2,Ca
3,Ca,10,6,Tet,3,Ca
3,Ca,0,6,Tet,1,Lp
3,Ca,0,6,Tet,2,Lp
3,Ca,0,6,Tet,3,Lp
3,Lp,20,2,Tet,1,Ca
3,Lp,15,2,Tet,2,Ca
3,Lp,20,2,Tet,3,Ca
3,Lp,24,5,Tet,1,Lp
3,Lp,27,5,Tet,2,Lp
3,Lp,21,5,Tet,3,Lp
3,Ca,22,4,Ery,1,Ca
3,Lp,1,2,Ery,1,Ca
3,Ca,8,4,Ery,1,Lp
3,Lp,12,2,Ery,1,Lp
3,Ca,8,4,Ery,2,Ca
3,Lp,12,2,Ery,2,Ca
3,Ca,16,4,Ery,2,Lp
3,Lp,30,2,Ery,2,Lp
3,Ca,10,4,Ery,3,Ca
3,Lp,13,2,Ery,3,Ca
3,Ca,9,4,Ery,3,Lp
3,Lp,15,2,Ery,3,Lp
4,Ca,9,3,Amp,1,Ca
4,Ca,8,3,Amp,2,Ca
4,Ca,3,3,Amp,3,Ca
4,Ca,5,3,Amp,1,Lp
4,Ca,1,3,Amp,2,Lp
4,Ca,4,3,Amp,3,Lp
4,Lp,4,3,Amp,1,Ca
4,Lp,4,3,Amp,2,Ca
4,Lp,6,3,Amp,3,Ca
4,Lp,8,1,Amp,1,Lp
4,Lp,2,1,Amp,2,Lp
4,Lp,5,1,Amp,3,Lp
4,Ca,17,3,Car,1,Ca
4,Ca,21,3,Car,2,Ca
4,Ca,15,3,Car,3,Ca
4,Ca,0,5,Car,1,Lp
4,Ca,0,5,Car,2,Lp
4,Ca,0,5,Car,3,Lp
4,Lp,5,3,Car,1,Ca
4,Lp,2,3,Car,2,Ca
4,Lp,5,3,Car,3,Ca
4,Lp,14,2,Car,1,Lp
4,Lp,11,2,Car,2,Lp
4,Lp,11,2,Car,3,Lp
4,Ca,35,4,Chl,1,Ca
4,Ca,15,4,Chl,2,Ca
4,Ca,15,4,Chl,3,Ca
4,Ca,6,3,Chl,1,Lp
4,Ca,6,3,Chl,2,Lp
4,Ca,8,3,Chl,3,Lp
4,Lp,5,2,Chl,1,Ca
4,Lp,5,2,Chl,2,Ca
4,Lp,15,2,Chl,3,Ca
4,Lp,5,4,Chl,1,Lp
4,Lp,8,4,Chl,2,Lp
4,Lp,1,4,Chl,3,Lp
4,Ca,20,2,Cip,1,Ca
4,Ca,30,2,Cip,2,Ca
4,Ca,2,2,Cip,3,Ca
4,Ca,0,5,Cip,1,Lp
4,Ca,0,5,Cip,2,Lp
