Species	Expected_Initial_Lp	Day	Row	Column	Replicate	Counts	PoissonErr	Abundance
Lp	100	5	A	11	1	16	4	160000000
Lp	0	0	A	1	2	0	0	0
Lp	10	0	A	2	2	1.2	0.346410161513775	12000000
Lp	20	0	A	3	2	2.3	0.479583152331272	23000000
Lp	30	0	A	4	2	6	2.44948974278318	60000000
Lp	40	0	A	5	2	6	2.44948974278318	60000000
Lp	50	0	A	6	2	8	2.82842712474619	80000000
Lp	60	0	A	7	2	6	2.44948974278318	60000000
Lp	70	0	A	8	2	6	2.44948974278318	60000000
Lp	80	0	A	9	2	6	2.44948974278318	60000000
Lp	90	0	A	10	2	13	3.60555127546399	130000000
Lp	100	0	A	11	2	7	2.64575131106459	70000000
Lp	0	1	A	1	2	0	0	0
Lp	10	1	A	2	2	3.2	0.565685424949238	32000000
Lp	20	1	A	3	2	7	2.64575131106459	70000000
Lp	30	1	A	4	2	72	8.48528137423857	720000000
Lp	40	1	A	5	2	60	7.74596669241483	600000000
Lp	50	1	A	6	2	29	5.3851648071345	290000000
Lp	60	1	A	7	2	18	4.24264068711928	180000000
Lp	70	1	A	8	2	21	4.58257569495584	210000000
Lp	80	1	A	9	2	12	3.46410161513775	120000000
Lp	90	1	A	10	2	20	4.47213595499958	200000000
Lp	100	1	A	11	2	21	4.58257569495584	210000000
Lp	0	2	A	1	2	0.28	0.0529150262212918	2800000
Lp	10	2	A	2	2	0.05	0.0223606797749979	500000
Lp	20	2	A	3	2	0.03	0.0173205080756888	300000
Lp	30	2	A	4	2	12	3.46410161513775	120000000
Lp	40	2	A	5	2	18	4.24264068711928	180000000
Lp	50	2	A	6	2	14	3.74165738677394	140000000
Lp	60	2	A	7	2	13	3.60555127546399	130000000
Lp	70	2	A	8	2	16	4	160000000
Lp	80	2	A	9	2	9	3	90000000
Lp	90	2	A	10	2	19	4.35889894354067	190000000
Lp	100	2	A	11	2	16	4	160000000
Lp	0	3	A	1	2	0.003	0.00173205080756888	30000
Lp	10	3	A	2	2	0.003	0.00173205080756888	30000
Lp	20	3	A	3	2	0.00	0	0.00
Lp	30	3	A	4	2	17	4.12310562561766	170000000
Lp	40	3	A	5	2	19	4.35889894354067	190000000
Lp	50	3	A	6	2	18	4.24264068711928	180000000
Lp	60	3	A	7	2	14	3.74165738677394	140000000
Lp	70	3	A	8	2	25	5	250000000
Lp	80	3	A	9	2	17	4.12310562561766	170000000
Lp	90	3	A	10	2	15	3.87298334620742	150000000
Lp	100	3	A	11	2	11	3.3166247903554	110000000
Lp	0	4	A	1	2	0.016	0.004	160000
Lp	10	4	A	2	2	0.021	0.00458257569495584	210000
Lp	20	4	A	3	2	0.011	0.0033166247903554	110000
Lp	30	4	A	4	2	15	3.87298334620742	150000000
Lp	40	4	A	5	2	14	3.74165738677394	140000000
Lp	50	4	A	6	2	18	4.24264068711928	180000000
Lp	60	4	A	7	2	15	3.87298334620742	150000000
Lp	70	4	A	8	2	23	4.79583152331272	230000000
Lp	80	4	A	9	2	11	3.3166247903554	110000000
Lp	90	4	A	10	2	18	4.24264068711928	180000000
Lp	100	4	A	11	2	11	3.3166247903554	110000000
Lp	0	5	A	1	2	0.014	0.00374165738677394	140000
Lp	10	5	A	2	2	0.016	0.004	160000
Lp	20	5	A	3	2	0.011	0.0033166247903554	110000
Lp	30	5	A	4	2	14	3.74165738677394	140000000
Lp	40	5	A	5	2	17	4.12310562561766	170000000
Lp	50	5	A	6	2	17	4.12310562561766	170000000
Lp	60	5	A	7	2	21	4.58257569495584	210000000
Lp	70	5	A	8	2	13	3.60555127546399	130000000
Lp	80	5	A	9	2	18	4.24264068711928	180000000
Lp	90	5	A	10	2	14	3.74165738677394	140000000
Lp	100	5	A	11	2	14	3.74165738677394	140000000
Lp	0	0	A	1	3	0	0	0
Lp	10	0	A	2	3	1.0	1	10000000.0
Lp	20	0	A	3	3	1.6	0.4	16000000
Lp	30	0	A	4	3	2.8	0.529150262212918	28000000
Lp	40	0	A	5	3	6	2.44948974278318	60000000
Lp	50	0	A	6	3	6	2.44948974278318	60000000
Lp	60	0	A	7	3	5	2.23606797749979	50000000
Lp	70	0	A	8	3	7	2.64575131106459	70000000
Lp	80	0	A	9	3	6	2.44948974278318	60000000
Lp	90	0	A	10	3	5	2.23606797749979	50000000
Lp	100	0	A	11	3	8	2.82842712474619	80000000
Lp	0	1	A	1	3	0	0	0
Lp	10	1	A	2	3	3	0.547722557505166	30000000
Lp	20	1	A	3	3	6.3	0.793725393319377	63000000
Lp	30	1	A	4	3	96	9.79795897113271	960000000
Lp	40	1	A	5	3	48	6.92820323027551	480000000
Lp	50	1	A	6	3	47	6.85565460040104	470000000
Lp	60	1	A	7	3	12	3.46410161513775	120000000
Lp	70	1	A	8	3	15	3.87298334620742	150000000
Lp	80	1	A	9	3	13	3.60555127546399	130000000
Lp	90	1	A	10	3	18	4.24264068711928	180000000
Lp	100	1	A	11	3	19	4.35889894354067	190000000
Lp	0	2	A	1	3	0.14	0.28	1400000
Lp	10	2	A	2	3	0.05	0.28	500000
Lp	20	2	A	3	3	0.06	0.28	600000
Lp	30	2	A	4	3	23	4.79583152331272	230000000
Lp	40	2	A	5	3	13	3.60555127546399	130000000
Lp	50	2	A	6	3	19	4.35889894354067	190000000
Lp	60	2	A	7	3	15	3.87298334620742	150000000
Lp	70	2	A	8	3	16	4	160000000
Lp	80	2	A	9	3	15	3.87298334620742	150000000
Lp	90	2	A	10	3	19	4.35889894354067	190000000
Lp	100	2	A	11	3	18	4.24264068711928	180000000
Lp	0	3	A	1	3	0.003	0.0547722557505166	30000
Lp	10	3	A	2	3	0.003	0.0547722557505166	30000
Lp	20	3	A	3	3	0.003	0.0547722557505166	30000
Lp	30	3	A	4	3	13	3.60555127546399	130000000
Lp	40	3	A	5	3	18	4.24264068711928	180000000
Lp	50	3	A	6	3	19	4.35889894354067	190000000
Lp	60	3	A	7	3	13	3.60555127546399	130000000
Lp	70	3	A	8	3	17	4.12310562561766	170000000
Lp	80	3	A	9	3	18	4.24264068711928	180000000
Lp	90	3	A	10	3	19	4.35889894354067	190000000
Lp	100	3	A	11	3	15	3.87298334620742	150000000
Lp	0	4	A	1	3	0.003	0.0547722557505166	30000
Lp	10	4	A	2	3	0.003	0.0547722557505166	30000
Lp	20	4	A	3	3	0.003	0.0547722557505166	30000
Lp	30	4	A	4	3	29	5.3851648071345	290000000
Lp	40	4	A	5	3	16	4	160000000
Lp	50	4	A	6	3	19	4.35889894354067	190000000
Lp	60	4	A	7	3	16	4	160000000
Lp	70	4	A	8	3	11	3.3166247903554	110000000
Lp	80	4	A	9	3	11	3.3166247903554	110000000
Lp	90	4	A	10	3	19	4.35889894354067	190000000
Lp	100	4	A	11	3	14	3.74165738677394	140000000
Lp	0	5	A	1	3	0.003	0.0547722557505166	30000
Lp	10	5	A	2	3	0.003	0.0547722557505166	30000
Lp	20	5	A	3	3	0.003	0.0547722557505166	30000
Lp	30	5	A	4	3	20	4.47213595499958	200000000
Lp	40	5	A	5	3	17	4.12310562561766	170000000
Lp	50	5	A	6	3	31	5.56776436283002	310000000
Lp	60	5	A	7	3	15	3.87298334620742	150000000
Lp	70	5	A	8	3	16	4	160000000
Lp	80	5	A	9	3	19	4.35889894354067	190000000
Lp	90	5	A	10	3	19	4.35889894354067	190000000
Lp	100	5	A	11	3	24	4.89897948556636	240000000
