Day,Species,Counts,Dilution,Antibiotic,Replicate,Initial
0,Lp,15,3,Chl,2,Ca
0,Lp,34,4,Chl,2,Lp
0,Ca,2,5,Chl,3,Ca
0,Ca,18,3,Chl,3,Lp
0,Lp,15,3,Chl,3,Ca
0,Lp,33,4,Chl,3,Lp
1,Ca,5,6,Chl,1,Ca
1,Ca,0,1,Chl,1,Lp
1,Lp,6,4,Chl,1,Ca
1,Lp,10,5,Chl,1,Lp
1,Ca,4,6,Chl,2,Ca
1,Ca,0,1,Chl,2,Lp
1,Lp,3,4,Chl,2,Ca
1,Lp,19,5,Chl,2,Lp
1,Ca,4,6,Chl,3,Ca
1,Ca,0,1,Chl,3,Lp
1,Lp,4,4,Chl,3,Ca
1,Lp,14,5,Chl,3,Lp
2,Ca,2,5,Chl,1,Ca
2,Ca,0,1,Chl,1,Lp
2,Lp,10,2,Chl,1,Ca
2,Lp,16,5,Chl,1,Lp
2,Ca,5,5,Chl,2,Ca
2,Ca,0,1,Chl,2,Lp
2,Lp,9,2,Chl,2,Ca
2,Lp,16,5,Chl,2,Lp
2,Ca,2,5,Chl,3,Ca
2,Ca,0,1,Chl,3,Lp
2,Lp,12,2,Chl,3,Ca
2,Lp,18,5,Chl,3,Lp
3,Ca,10,6,Chl,1,Ca
3,Ca,0,1,Chl,1,Lp
3,Lp,6,1,Chl,1,Ca
3,Lp,8,5,Chl,1,Lp
3,Ca,9,6,Chl,2,Ca
3,Ca,0,1,Chl,2,Lp
3,Lp,12,1,Chl,2,Ca
3,Lp,12,5,Chl,2,Lp
3,Ca,10,6,Chl,3,Ca
3,Ca,0,1,Chl,3,Lp
3,Lp,5,1,Chl,3,Ca
3,Lp,18,5,Chl,3,Lp
4,Ca,9,4,Chl,1,Ca
4,Ca,10,2,Chl,1,Lp
4,Lp,13,1,Chl,1,Ca
4,Lp,5,3,Chl,1,Lp
4,Ca,14,4,Chl,2,Ca
4,Ca,6,2,Chl,2,Lp
4,Lp,5,1,Chl,2,Ca
4,Lp,5,3,Chl,2,Lp
4,Ca,11,4,Chl,3,Ca
4,Ca,6,2,Chl,3,Lp
4,Lp,9,1,Chl,3,Ca
4,Lp,6,3,Chl,3,Lp
5,Ca,9,3,Chl,1,Ca
5,Ca,4,4,Chl,1,Lp
5,Lp,7,5,Chl,1,Ca
5,Lp,16,5,Chl,1,Lp
5,Ca,5,3,Chl,2,Ca
5,Ca,4,4,Chl,2,Lp
5,Lp,11,5,Chl,2,Ca
5,Lp,14,5,Chl,2,Lp
5,Ca,13,3,Chl,3,Ca
5,Ca,3,4,Chl,3,Lp
5,Lp,28,5,Chl,3,Ca
5,Lp,16,5,Chl,3,Lp
6,Ca,0,1,Chl,1,Ca
6,Ca,0,1,Chl,1,Lp
6,Lp,19,5,Chl,1,Ca
6,Lp,20,5,Chl,1,Lp
6,Ca,0,1,Chl,2,Ca
6,Ca,0,1,Chl,2,Lp
6,Lp,14,5,Chl,2,Ca
6,Lp,12,5,Chl,2,Lp
6,Ca,0,1,Chl,3,Ca
6,Ca,0,1,Chl,3,Lp
6,Lp,25,5,Chl,3,Ca
6,Lp,13,5,Chl,3,Lp
7,Ca,0,1,Chl,1,Ca
7,Ca,0,1,Chl,1,Lp
7,Lp,23,5,Chl,1,Ca
7,Lp,21,5,Chl,1,Lp
7,Ca,0,1,Chl,2,Ca
7,Ca,0,1,Chl,2,Lp
7,Lp,18,5,Chl,2,Ca
7,Lp,18,5,Chl,2,Lp
7,Ca,0,1,Chl,3,Ca
7,Ca,0,1,Chl,3,Lp
7,Lp,20,5,Chl,3,Ca
7,Lp,14,5,Chl,3,Lp
8,Ca,0,1,Chl,1,Ca
8,Ca,0,1,Chl,1,Lp
8,Lp,19,5,Chl,1,Ca
8,Lp,21,5,Chl,1,Lp
8,Ca,0,1,Chl,2,Ca
8,Ca,0,1,Chl,2,Lp
8,Lp,23,5,Chl,2,Ca
8,Lp,18,5,Chl,2,Lp
8,Ca,0,1,Chl,3,Ca
8,Ca,0,1,Chl,3,Lp
8,Lp,20,5,Chl,3,Ca
8,Lp,15,5,Chl,3,Lp
0,Ca,2,5,Cip,1,Ca
0,Ca,5,5,Cip,2,Ca
0,Ca,2,5,Cip,3,Ca
0,Ca,18,3,Cip,1,Lp
0,Ca,20,3,Cip,2,Lp
0,Ca,14,3,Cip,3,Lp
0,Lp,15,3,Cip,1,Ca
0,Lp,14,3,Cip,2,Ca
0,Lp,15,3,Cip,3,Ca
0,Lp,33,4,Cip,1,Lp
0,Lp,34,4,Cip,2,Lp
0,Lp,27,4,Cip,3,Lp
1,Ca,8,6,Cip,1,Ca
1,Ca,5,6,Cip,2,Ca
1,Ca,8,6,Cip,3,Ca
1,Ca,0,6,Cip,1,Lp
1,Ca,0,6,Cip,2,Lp
1,Ca,0,6,Cip,3,Lp
1,Lp,2,4,Cip,1,Ca
1,Lp,1,4,Cip,2,Ca
1,Lp,2,4,Cip,3,Ca
1,Lp,23,5,Cip,1,Lp
1,Lp,25,5,Cip,2,Lp
1,Lp,17,5,Cip,3,Lp
2,Ca,7,6,Cip,1,Ca
2,Ca,5,6,Cip,2,Ca
2,Ca,6,6,Cip,3,Ca
2,Ca,0,6,Cip,1,Lp
2,Ca,0,6,Cip,2,Lp
2,Ca,0,6,Cip,3,Lp
2,Lp,13,2,Cip,1,Ca
2,Lp,2,2,Cip,2,Ca
2,Lp,13,2,Cip,3,Ca
2,Lp,12,5,Cip,1,Lp
2,Lp,12,5,Cip,2,Lp
2,Lp,14,5,Cip,3,Lp
3,Ca,11,6,Cip,1,Ca
3,Ca,11,6,Cip,2,Ca
3,Ca,5,6,Cip,3,Ca
3,Ca,0,6,Cip,1,Lp
3,Ca,0,6,Cip,2,Lp
3,Ca,0,6,Cip,3,Lp
3,Lp,10,1,Cip,1,Ca
3,Lp,8,1,Cip,2,Ca
3,Lp,10,1,Cip,3,Ca
3,Lp,19,5,Cip,1,Lp
3,Lp,15,5,Cip,2,Lp
3,Lp,20,5,Cip,3,Lp
4,Ca,1.6,3,Cip,1,Ca
4,Ca,0.05,3,Cip,2,Ca
4,Ca,4,3,Cip,3,Ca
4,Ca,0,5,Cip,1,Lp
4,Ca,0,5,Cip,2,Lp
4,Ca,0,5,Cip,3,Lp
4,Lp,17,1,Cip,1,Ca
4,Lp,12,1,Cip,2,Ca
4,Lp,10,1,Cip,3,Ca
4,Lp,25,4,Cip,1,Lp
4,Lp,20,4,Cip,2,Lp
4,Lp,22,4,Cip,3,Lp
5,Ca,0,6,Cip,1,Ca
5,Ca,0,6,Cip,2,Ca
5,Ca,0,6,Cip,3,Ca
5,Ca,0,6,Cip,1,Lp
5,Ca,0,6,Cip,2,Lp
5,Ca,0,6,Cip,3,Lp
5,Lp,19,5,Cip,1,Ca
5,Lp,28,5,Cip,2,Ca
5,Lp,27,5,Cip,3,Ca
5,Lp,16,5,Cip,1,Lp
5,Lp,15,5,Cip,2,Lp
5,Lp,22,5,Cip,3,Lp
6,Ca,0,6,Cip,1,Ca
6,Ca,0,6,Cip,2,Ca
6,Ca,0,6,Cip,3,Ca
6,Ca,0,6,Cip,1,Lp
6,Ca,0,6,Cip,2,Lp
6,Ca,0,6,Cip,3,Lp
6,Lp,14,5,Cip,1,Ca
6,Lp,20,5,Cip,2,Ca
6,Lp,15,5,Cip,3,Ca
6,Lp,19,5,Cip,1,Lp
6,Lp,19,5,Cip,2,Lp
6,Lp,18,5,Cip,3,Lp
7,Ca,0,5,Cip,1,Ca
7,Ca,0,5,Cip,2,Ca
7,Ca,0,5,Cip,3,Ca
7,Ca,0,5,Cip,1,Lp
7,Ca,0,5,Cip,2,Lp
7,Ca,0,5,Cip,3,Lp
7,Lp,21,5,Cip,1,Ca
7,Lp,15,5,Cip,2,Ca
7,Lp,20,5,Cip,3,Ca
7,Lp,25,5,Cip,1,Lp
7,Lp,25,5,Cip,2,Lp
7,Lp,19,5,Cip,3,Lp
8,Ca,0,5,Cip,1,Ca
8,Ca,0,5,Cip,2,Ca
8,Ca,0,5,Cip,3,Ca
8,Ca,0,5,Cip,1,Lp
8,Ca,0,5,Cip,2,Lp
8,Ca,0,5,Cip,3,Lp
8,Lp,18,5,Cip,1,Ca
8,Lp,16,5,Cip,2,Ca
8,Lp,21,5,Cip,3,Ca
8,Lp,22,5,Cip,1,Lp
8,Lp,25,5,Cip,2,Lp
8,Lp,28,5,Cip,3,Lp
0,Ca,2,5,Ery,1,Ca
0,Ca,5,5,Ery,2,Ca
0,Ca,2,5,Ery,3,Ca
0,Ca,18,3,Ery,1,Lp
0,Ca,20,3,Ery,2,Lp
0,Ca,14,3,Ery,3,Lp
0,Lp,15,3,Ery,1,Ca
0,Lp,14,3,Ery,2,Ca
0,Lp,15,3,Ery,3,Ca
0,Lp,33,4,Ery,1,Lp
0,Lp,34,4,Ery,2,Lp
0,Lp,27,4,Ery,3,Lp
1,Ca,6,6,Ery,1,Ca
1,Ca,2,6,Ery,2,Ca
1,Ca,6,6,Ery,3,Ca
1,Ca,0,1,Ery,1,Lp
1,Ca,0,1,Ery,2,Lp
1,Ca,0,1,Ery,3,Lp
1,Lp,9,4,Ery,1,Ca
1,Lp,3,4,Ery,2,Ca
1,Lp,9,4,Ery,3,Ca
1,Lp,11,5,Ery,1,Lp
1,Lp,28,5,Ery,2,Lp
1,Lp,23,5,Ery,3,Lp
2,Ca,8,6,Ery,1,Ca
2,Ca,2,6,Ery,2,Ca
2,Ca,1.7,6,Ery,3,Ca
2,Ca,0,6,Ery,1,Lp
2,Ca,0,6,Ery,2,Lp
2,Ca,0,6,Ery,3,Lp
2,Lp,21,2,Ery,1,Ca
2,Lp,22,2,Ery,2,Ca
2,Lp,21,2,Ery,3,Ca
2,Lp,11,5,Ery,1,Lp
2,Lp,20,5,Ery,2,Lp
2,Lp,14,5,Ery,3,Lp
3,Ca,8,6,Ery,1,Ca
3,Ca,9,6,Ery,2,Ca
3,Ca,9,6,Ery,3,Ca
3,Ca,0,6,Ery,1,Lp
3,Ca,0,6,Ery,2,Lp
3,Ca,0,6,Ery,3,Lp
3,Lp,12,1,Ery,1,Ca
3,Lp,7,1,Ery,2,Ca
3,Lp,12,1,Ery,3,Ca
3,Lp,12,5,Ery,1,Lp
3,Lp,13,5,Ery,2,Lp
3,Lp,17,5,Ery,3,Lp
4,Ca,20,4,Ery,1,Ca
4,Ca,12,4,Ery,2,Ca
4,Ca,11,4,Ery,3,Ca
4,Ca,5,3,Ery,1,Lp
4,Ca,5,3,Ery,2,Lp
4,Ca,3,3,Ery,3,Lp
4,Lp,0,1,Ery,1,Ca
4,Lp,1,1,Ery,2,Ca
4,Lp,2,1,Ery,3,Ca
4,Lp,35,1,Ery,1,Lp
4,Lp,25,1,Ery,2,Lp
4,Lp,16,1,Ery,3,Lp
5,Ca,1,4,Ery,1,Ca
5,Ca,11,4,Ery,2,Ca
5,Ca,4,4,Ery,3,Ca
5,Ca,2,3,Ery,1,Lp
5,Ca,2,3,Ery,2,Lp
5,Ca,5,3,Ery,3,Lp
5,Lp,9,2,Ery,1,Ca
5,Lp,9,2,Ery,2,Ca
5,Lp,3,2,Ery,3,Ca
5,Lp,3,3,Ery,1,Lp
5,Lp,3,3,Ery,2,Lp
5,Lp,5,3,Ery,3,Lp
6,Ca,12,4,Ery,1,Ca
6,Ca,0,4,Ery,2,Ca
6,Ca,0.03,4,Ery,3,Ca
6,Ca,21,1,Ery,1,Lp
6,Ca,10,1,Ery,2,Lp
6,Ca,5,1,Ery,3,Lp
6,Lp,12,5,Ery,1,Ca
6,Lp,25,5,Ery,2,Ca
6,Lp,14,5,Ery,3,Ca
6,Lp,16,5,Ery,1,Lp
6,Lp,10,5,Ery,2,Lp
6,Lp,16,5,Ery,3,Lp
7,Ca,0,6,Ery,1,Ca
7,Ca,0,6,Ery,2,Ca
7,Ca,0,6,Ery,3,Ca
7,Ca,0,6,Ery,1,Lp
7,Ca,0,6,Ery,2,Lp
7,Ca,0,6,Ery,3,Lp
7,Lp,15,5,Ery,1,Ca
7,Lp,14,5,Ery,2,Ca
7,Lp,11,5,Ery,3,Ca
7,Lp,17,5,Ery,1,Lp
7,Lp,13,5,Ery,2,Lp
7,Lp,31,5,Ery,3,Lp
8,Ca,0,5,Ery,1,Ca
8,Ca,0,5,Ery,2,Ca
8,Ca,0,5,Ery,3,Ca
8,Ca,0,5,Ery,1,Lp
8,Ca,0,5,Ery,2,Lp
8,Ca,0,5,Ery,3,Lp
8,Lp,15,5,Ery,1,Ca
8,Lp,16,5,Ery,2,Ca
8,Lp,18,5,Ery,3,Ca
8,Lp,16,5,Ery,1,Lp
8,Lp,18,5,Ery,2,Lp
8,Lp,15,5,Ery,3,Lp
0,Ca,2,5,Gent,1,Ca
0,Ca,5,5,Gent,2,Ca
0,Ca,2,5,Gent,3,Ca
0,Ca,18,3,Gent,1,Lp
0,Ca,20,3,Gent,2,Lp
0,Ca,14,3,Gent,3,Lp
0,Lp,15,3,Gent,1,Ca
0,Lp,14,3,Gent,2,Ca
0,Lp,15,3,Gent,3,Ca
0,Lp,33,4,Gent,1,Lp
0,Lp,34,4,Gent,2,Lp
0,Lp,27,4,Gent,3,Lp
1,Ca,3,6,Gent,1,Ca
1,Ca,3,6,Gent,2,Ca
1,Ca,3,6,Gent,3,Ca
1,Ca,0,1,Gent,1,Lp
1,Ca,0,1,Gent,2,Lp
1,Ca,0,1,Gent,3,Lp
1,Lp,1,4,Gent,1,Ca
1,Lp,4,4,Gent,2,Ca
1,Lp,1,4,Gent,3,Ca
1,Lp,17,5,Gent,1,Lp
1,Lp,22,5,Gent,2,Lp
1,Lp,23,5,Gent,3,Lp
2,Ca,5,6,Gent,1,Ca
2,Ca,3,6,Gent,2,Ca
2,Ca,5,6,Gent,3,Ca
2,Ca,0,6,Gent,1,Lp
2,Ca,0,6,Gent,2,Lp
2,Ca,0,6,Gent,3,Lp
2,Lp,8,2,Gent,1,Ca
2,Lp,0,2,Gent,2,Ca
2,Lp,8,2,Gent,3,Ca
2,Lp,10,6,Gent,1,Lp
2,Lp,17,6,Gent,2,Lp
2,Lp,14,6,Gent,3,Lp
3,Ca,11,6,Gent,1,Ca
3,Ca,9,6,Gent,2,Ca
3,Ca,7,6,Gent,3,Ca
3,Ca,0,6,Gent,1,Lp
3,Ca,0,6,Gent,2,Lp
3,Ca,0,6,Gent,3,Lp
3,Lp,7,1,Gent,1,Ca
3,Lp,2,1,Gent,2,Ca
3,Lp,7,1,Gent,3,Ca
3,Lp,11,5,Gent,1,Lp
3,Lp,15,5,Gent,2,Lp
3,Lp,18,5,Gent,3,Lp
4,Ca,1,1,Gent,1,Ca
4,Ca,1,1,Gent,2,Ca
4,Ca,0,1,Gent,3,Ca
4,Ca,0,1,Gent,1,Lp
4,Ca,0,1,Gent,2,Lp
4,Ca,0,1,Gent,3,Lp
4,Lp,0,1,Gent,1,Ca
4,Lp,0,1,Gent,2,Ca
4,Lp,0,1,Gent,3,Ca
4,Lp,0,1,Gent,1,Lp
4,Lp,0,1,Gent,2,Lp
4,Lp,0,1,Gent,3,Lp
5,Ca,0,4,Gent,1,Ca
5,Ca,0,4,Gent,2,Ca
5,Ca,0,4,Gent,3,Ca
5,Ca,0,4,Gent,1,Lp
5,Ca,0,4,Gent,2,Lp
5,Ca,0,4,Gent,3,Lp
5,Lp,0,6,Gent,1,Ca
5,Lp,0,6,Gent,2,Ca
5,Lp,0,6,Gent,3,Ca
5,Lp,200,1,Gent,1,Lp
5,Lp,6,1,Gent,2,Lp
5,Lp,2,1,Gent,3,Lp
6,Ca,16,3,Gent,1,Ca
6,Ca,0.04,3,Gent,2,Ca
6,Ca,0.05,3,Gent,3,Ca
6,Ca,5,3,Gent,1,Lp
6,Ca,24,3,Gent,2,Lp
6,Ca,20,3,Gent,3,Lp
6,Lp,22,5,Gent,1,Ca
6,Lp,12,5,Gent,2,Ca
6,Lp,21,5,Gent,3,Ca
6,Lp,8,5,Gent,1,Lp
6,Lp,14,5,Gent,2,Lp
6,Lp,14,5,Gent,3,Lp
7,Ca,0,6,Gent,1,Ca
7,Ca,0,6,Gent,2,Ca
7,Ca,0,6,Gent,3,Ca
7,Ca,0,6,Gent,1,Lp
7,Ca,0,6,Gent,2,Lp
7,Ca,0,6,Gent,3,Lp
7,Lp,14,5,Gent,1,Ca
7,Lp,21,5,Gent,2,Ca
7,Lp,19,5,Gent,3,Ca
7,Lp,18,5,Gent,1,Lp
7,Lp,21,5,Gent,2,Lp
7,Lp,15,5,Gent,3,Lp
8,Ca,0,5,Gent,1,Ca
8,Ca,0,5,Gent,2,Ca
8,Ca,0,5,Gent,3,Ca
8,Ca,0,5,Gent,1,Lp
8,Ca,0,5,Gent,2,Lp
8,Ca,0,5,Gent,3,Lp
8,Lp,17,5,Gent,1,Ca
8,Lp,21,5,Gent,2,Ca
8,Lp,19,5,Gent,3,Ca
8,Lp,12,5,Gent,1,Lp
8,Lp,13,5,Gent,2,Lp
8,Lp,9,5,Gent,3,Lp
0,Ca,2,5,Kan,1,Ca
0,Ca,5,5,Kan,2,Ca
0,Ca,2,5,Kan,3,Ca
0,Ca,18,3,Kan,1,Lp
0,Ca,20,3,Kan,2,Lp
0,Ca,14,3,Kan,3,Lp
0,Lp,15,3,Kan,1,Ca
0,Lp,14,3,Kan,2,Ca
0,Lp,15,3,Kan,3,Ca
0,Lp,33,4,Kan,1,Lp
0,Lp,34,4,Kan,2,Lp
0,Lp,27,4,Kan,3,Lp
1,Ca,2,6,Kan,1,Ca
1,Ca,4,6,Kan,2,Ca
1,Ca,2,6,Kan,3,Ca
1,Ca,0,1,Kan,1,Lp
1,Ca,0,1,Kan,2,Lp
1,Ca,0,1,Kan,3,Lp
1,Lp,5,4,Kan,1,Ca
1,Lp,1,4,Kan,2,Ca
1,Lp,5,4,Kan,3,Ca
1,Lp,26,5,Kan,1,Lp
1,Lp,26,5,Kan,2,Lp
1,Lp,15,5,Kan,3,Lp
2,Ca,3,6,Kan,1,Ca
2,Ca,8,6,Kan,2,Ca
2,Ca,7,6,Kan,3,Ca
2,Ca,0,6,Kan,1,Lp
2,Ca,0,6,Kan,2,Lp
