"","Concentration","Well","Replicate","Slope","Intercept","Rsquare"
"64","col_conc","B10","R1","0.512938963708212","-5.34103625584052","0.972007405138877"
"65","col_conc","B10","R2","0.524831575970838","-5.1974635484609","0.989272303354937"
"66","col_conc","B10","R3","0.536118675528109","-5.29193845785815","0.986508958814026"
"67","col_conc","B11","R1","0.53290076032306","-5.41500862503303","0.968200559791421"
"68","col_conc","B11","R2","0.519704776676611","-5.19849046772298","0.985434583937764"
"69","col_conc","B11","R3","0.524581300879388","-5.27078797914857","0.980178618374969"
"70","col_conc","B12","R1","0.527400795027907","-5.38045688844804","0.971934055574409"
"71","col_conc","B12","R2","0.537381806428035","-5.19390105381064","0.987728588078112"
"72","col_conc","B12","R3","0.513593882942596","-5.21608859654296","0.985526684176218"
"73","col_conc","C1","R1","0","0","0"
"74","col_conc","C1","R2","0.074912828732793","-4.3542669392643","0.594456240119373"
"75","col_conc","C1","R3","0","0","0"
"76","col_conc","C2","R1","0.142109695785823","-4.51253595308391","0.659107030152456"
"77","col_conc","C2","R2","0.0978231648556729","-4.32788294451101","0.46229266696483"
"78","col_conc","C2","R3","0.131472060399553","-4.70680279992926","0.720989151161049"
"79","col_conc","C3","R1","0.110838565711757","-4.49545454049039","0.744756925929082"
"80","col_conc","C3","R2","0.0430264459199644","-3.96618583704184","0.138125963495996"
"81","col_conc","C3","R3","0.0973599721268481","-4.32371727931455","0.438444419857463"
"82","col_conc","C4","R1","0","0","0"
"83","col_conc","C4","R2","0","0","0"
"84","col_conc","C4","R3","0","0","0"
"85","col_conc","C5","R1","0","0","0"
"86","col_conc","C5","R2","0","0","0"
"87","col_conc","C5","R3","0","0","0"
"88","col_conc","C6","R1","0","0","0"
"89","col_conc","C6","R2","0","0","0"
"90","col_conc","C6","R3","0","0","0"
"91","col_conc","C7","R1","0.117018972105518","-4.53560173054623","0.888328705290459"
"92","col_conc","C7","R2","0.10214459802957","-4.37104631326593","0.865777069054866"
"93","col_conc","C7","R3","0.0982815521180104","-4.40583966819229","0.825613184603017"
"94","col_conc","C8","R1","0.154052054414885","-4.43391177101868","0.827718474951976"
"95","col_conc","C8","R2","0.182312346356321","-4.40065035926768","0.865520757635852"
"96","col_conc","C8","R3","0.141365829903211","-4.38026279076287","0.786503770091628"
"97","col_conc","C9","R1","0.251469553649897","-4.70289101815733","0.8964028256584"
"98","col_conc","C9","R2","0.386186507995993","-4.9847400866142","0.973335904249166"
"99","col_conc","C9","R3","0.381899382032054","-5.0861631496337","0.97405524462542"
"100","col_conc","C10","R1","0.453262173545907","-5.19633146525267","0.995097255391444"
"101","col_conc","C10","R2","0.464881772896471","-5.14826745998222","0.982568220617371"
"102","col_conc","C10","R3","0.485543778744345","-5.31081958032348","0.975765107057671"
"103","col_conc","C11","R1","0.506263893522474","-5.33639981443566","0.988392662329516"
"104","col_conc","C11","R2","0.520030312413777","-5.25310123854138","0.9825107897476"
"105","col_conc","C11","R3","0.523367070390829","-5.35644234279016","0.977153590752496"
"106","col_conc","C12","R1","0.529061747969836","-5.33441848986642","0.981987131060476"
"107","col_conc","C12","R2","0.548602845300697","-5.27719358786084","0.988252948852446"
"108","col_conc","C12","R3","0.548320257401873","-5.36176789855645","0.975869700978516"
"109","col_conc","D1","R1","0","0","0"
"110","col_conc","D1","R2","0","0","0"
"111","col_conc","D1","R3","0","0","0"
"112","col_conc","D2","R1","0.00824284347246888","-4.00070218746951","0.00408525002894495"
"113","col_conc","D2","R2","0","0","0"
"114","col_conc","D2","R3","0","0","0"
"115","col_conc","D3","R1","0","0","0"
"116","col_conc","D3","R2","0","0","0"
"117","col_conc","D3","R3","0","0","0"
"118","col_conc","D4","R1","0","0","0"
"119","col_conc","D4","R2","0","0","0"
"120","col_conc","D4","R3","0.0682209066454159","-4.4324430666485","0.3158676340033"
"121","col_conc","D5","R1","0","0","0"
"122","col_conc","D5","R2","0","0","0"
"123","col_conc","D5","R3","0","0","0"
"124","col_conc","D6","R1","0.167708854297568","-4.80178625312959","0.980524264880297"
"125","col_conc","D6","R2","0.188060168216069","-4.7722447088102","0.953325837931979"
"126","col_conc","D6","R3","0.126256164853659","-3.95656485005715","0.97335259146756"
"127","col_conc","D7","R1","0.296101752789196","-4.86175368040771","0.990885112551739"
"128","col_conc","D7","R2","0.317030667956306","-4.91248208701668","0.973561972953212"
"129","col_conc","D7","R3","0.308519886157998","-4.91051012995817","0.970641551813531"
"130","col_conc","D8","R1","0.416958894433463","-5.14074798133184","0.988024684303166"
"131","col_conc","D8","R2","0.44314187229603","-5.12486210208846","0.980980674006476"
"132","col_conc","D8","R3","0.457348211155744","-5.2674679946659","0.98749690883261"
"133","col_conc","D9","R1","0.388233230398786","-4.83811654745326","0.994619141796911"
"134","col_conc","D9","R2","0.519118681732324","-5.25649986453783","0.985097848183535"
"135","col_conc","D9","R3","0.444995652198749","-5.00769378185957","0.99354237338361"
"136","col_conc","D10","R1","0.475357482265273","-5.22085501053575","0.989202881069196"
"137","col_conc","D10","R2","0.521502063745019","-5.2656286470221","0.984878367558642"
"138","col_conc","D10","R3","0.506850547290346","-5.28306267553993","0.986018949843108"
"139","col_conc","D11","R1","0.496684650514344","-5.29343452964651","0.983289289147095"
"140","col_conc","D11","R2","0.548695361746563","-5.32828717620131","0.981761963190576"
"141","col_conc","D11","R3","0.509487273637904","-5.23631259484945","0.986980712305012"
"142","col_conc","D12","R1","0.524145230658996","-5.33327235679778","0.985964814677566"
"143","col_conc","D12","R2","0.545852243905057","-5.25069887070999","0.984294157701743"
"144","col_conc","D12","R3","0.533785095335186","-5.31728841382698","0.981140755166146"
"145","col_conc","E1","R1","0","0","0"
"146","col_conc","E1","R2","0","0","0"
"147","col_conc","E1","R3","0","0","0"
"148","col_conc","E2","R1","-0.0270352018296441","-3.50023098525249","0.0844936239680219"
"149","col_conc","E2","R2","0","0","0"
"150","col_conc","E2","R3","0","0","0"
"151","col_conc","E3","R1","-0.0211968000126192","-3.32627766224109","0.0769950909482825"
"152","col_conc","E3","R2","0","0","0"
"153","col_conc","E3","R3","0","0","0"
"154","col_conc","E4","R1","-0.0692187770986931","-3.4564389901839","0.266823481906043"
"155","col_conc","E4","R2","0.0108073049585618","-4.04722490299208","0.0175954504386507"
"156","col_conc","E4","R3","-0.0114511252921118","-3.99310484697859","0.0145906711205719"
"157","col_conc","E5","R1","0.146350998738834","-4.68020302624624","0.927321477658929"
"158","col_conc","E5","R2","0.212255352329243","-4.92582681728347","0.97488845479722"
"159","col_conc","E5","R3","0.201761794111237","-4.79270717647516","0.914497929620757"
"160","col_conc","E6","R1","0.290178279989679","-5.0149240643893","0.991766420518561"
"161","col_conc","E6","R2","0.346837417121387","-5.0626515087434","0.982071198513873"
"162","col_conc","E6","R3","0.295076922218009","-4.78313877447182","0.899311682364463"
"163","col_conc","E7","R1","0.371191953123151","-5.14296048068839","0.987175113211533"
"164","col_conc","E7","R2","0.377343103573248","-4.99748846214919","0.986977497775702"
"165","col_conc","E7","R3","0.430847634433951","-5.22712674160875","0.98392111582348"
"166","col_conc","E8","R1","0.403432474694152","-5.02004374100158","0.992697485836733"
"167","col_conc","E8","R2","0.45404508486258","-5.20592374054389","0.985036157440621"
"168","col_conc","E8","R3","0.422675957252215","-5.13895275014166","0.985355745338314"
"169","col_conc","E9","R1","0.455626299083207","-5.19896613829055","0.985108222021666"
"170","col_conc","E9","R2","0.454661250636474","-5.11698119064845","0.980573562815041"
"171","col_conc","E9","R3","0.478547560197323","-5.22201135033195","0.986786177380419"
"172","col_conc","E10","R1","0.477077507570087","-5.28725685372459","0.983337678243403"
"173","col_conc","E10","R2","0.481263372106205","-5.18138660477547","0.983104864213619"
"174","col_conc","E10","R3","0.481714300628887","-5.21686422263001","0.984016660097158"
"175","col_conc","E11","R1","0.472943079245575","-5.24449087100495","0.984834217804579"
"176","col_conc","E11","R2","0.485676614973112","-5.11995190252051","0.986463029119109"
"177","col_conc","E11","R3","0.499866675540509","-5.2704084547686","0.98277971955633"
"178","col_conc","E12","R1","0.509740491461852","-5.30071471147485","0.986906464630458"
"179","col_conc","E12","R2","0.524071045935369","-5.17717886318125","0.987139189202247"
"180","col_conc","E12","R3","0.539099045586011","-5.32301542328996","0.989397964982082"
"181","col_conc","F1","R1","0","0","0"
"182","col_conc","F1","R2","0","0","0"
"183","col_conc","F1","R3","0","0","0"
"184","col_conc","F2","R1","0.124157244349073","-4.81422026664797","0.401092206787463"
"185","col_conc","F2","R2","0.116407740434269","-4.94872059392974","0.508548962270247"
"186","col_conc","F2","R3","0","0","0"
"187","col_conc","F3","R1","0.122401805266452","-4.6821423749691","0.425390365805535"
"188","col_conc","F3","R2","0","0","0"
"189","col_conc","F3","R3","0","0","0"
"190","col_conc","F4","R1","0.131656589160222","-4.48026046896415","0.411109596680535"
"191","col_conc","F4","R2","0","0","0"
"192","col_conc","F4","R3","0","0","0"
"193","col_conc","F5","R1","0.123315313262121","-4.54070158385172","0.498027470678008"
"194","col_conc","F5","R2","0","0","0"
"195","col_conc","F5","R3","0","0","0"
"196","col_conc","F6","R1","0.124454785587194","-4.59307064220364","0.577973053808475"
"197","col_conc","F6","R2","0","0","0"
"198","col_conc","F6","R3","0","0","0"
"199","col_conc","F7","R1","0.1124699404309","-4.5289226399975","0.497340366500278"
"200","col_conc","F7","R2","0","0","0"
"201","col_conc","F7","R3","0","0","0"
"202","col_conc","F8","R1","0","0","0"
"203","col_conc","F8","R2","0","0","0"
"204","col_conc","F8","R3","0","0","0"
"205","col_conc","F9","R1","0.121544018928563","-4.66148488661151","0.747834558292554"
"206","col_conc","F9","R2","0","0","0"
"207","col_conc","F9","R3","0","0","0"
"208","col_conc","F10","R1","0.131116807907434","-4.84198355437691","0.869331876367641"
"209","col_conc","F10","R2","0.0905029011564894","-4.54034866214453","0.60707533015088"
"210","col_conc","F10","R3","0.0584524627381741","-4.40635241875945","0.609424918477519"
"211","col_conc","F11","R1","0.102792679053101","-4.75396480553833","0.924416117260326"
