"","Concentration","Well","Replicate","Slope","Intercept","Rsquare"
"167","col_conc","E8","R2","0","0","0"
"168","col_conc","E8","R3","0","0","0"
"169","col_conc","E9","R1","0","0","0"
"170","col_conc","E9","R2","0","0","0"
"171","col_conc","E9","R3","0","0","0"
"172","col_conc","E10","R1","0.283727036217525","-5.41715953311113","0.99657772611392"
"173","col_conc","E10","R2","0.211384206206631","-5.34679180683878","0.996156961786339"
"174","col_conc","E10","R3","0.280451436969695","-5.96781903398426","0.9943573743651"
"175","col_conc","E11","R1","0.355435032231034","-5.45414539622523","0.996409650983178"
"176","col_conc","E11","R2","0.298334192606304","-5.48120067015067","0.998096706753984"
"177","col_conc","E11","R3","0.382914185369307","-6.2079749470127","0.996737775491017"
"178","col_conc","E12","R1","0.412943853190395","-5.58017653834056","0.998236262649261"
"179","col_conc","E12","R2","0.417681499895593","-5.66389335465597","0.998788381462444"
"180","col_conc","E12","R3","0.419111605628302","-5.73825286008946","0.998657347814277"
"181","col_conc","F1","R1","0","0","0"
"182","col_conc","F1","R2","0","0","0"
"183","col_conc","F1","R3","0","0","0"
"184","col_conc","F2","R1","0","0","0"
"185","col_conc","F2","R2","0","0","0"
"186","col_conc","F2","R3","0","0","0"
"187","col_conc","F3","R1","0","0","0"
"188","col_conc","F3","R2","0","0","0"
"189","col_conc","F3","R3","0","0","0"
"190","col_conc","F4","R1","0","0","0"
"191","col_conc","F4","R2","0","0","0"
"192","col_conc","F4","R3","0","0","0"
"193","col_conc","F5","R1","0","0","0"
"194","col_conc","F5","R2","0","0","0"
"195","col_conc","F5","R3","0","0","0"
"196","col_conc","F6","R1","0","0","0"
"197","col_conc","F6","R2","0","0","0"
"198","col_conc","F6","R3","0","0","0"
"199","col_conc","F7","R1","0","0","0"
"200","col_conc","F7","R2","0","0","0"
"201","col_conc","F7","R3","0","0","0"
"202","col_conc","F8","R1","0","0","0"
"203","col_conc","F8","R2","0","0","0"
"204","col_conc","F8","R3","0","0","0"
"205","col_conc","F9","R1","0","0","0"
"206","col_conc","F9","R2","0","0","0"
"207","col_conc","F9","R3","0","0","0"
"208","col_conc","F10","R1","0.2003026007824","-4.72771235585957","0.932031047784511"
"209","col_conc","F10","R2","0","0","0"
"210","col_conc","F10","R3","0.30047434502186","-5.49897487823128","0.983694512525676"
"211","col_conc","F11","R1","0.346689298494874","-5.14218209357355","0.988871948588712"
"212","col_conc","F11","R2","0.275080736220911","-5.0682763926132","0.988415525190543"
"213","col_conc","F11","R3","0.401985953085676","-5.94543878487183","0.989999113929516"
"214","col_conc","F12","R1","0.469241973615266","-5.60425303234312","0.996353596979952"
"215","col_conc","F12","R2","0.370426415396866","-5.31839755595594","0.998982967653058"
"216","col_conc","F12","R3","0.486538376734167","-6.2069967672439","0.997275879858495"
"217","col_conc","G1","R1","0","0","0"
"218","col_conc","G1","R2","0","0","0"
"219","col_conc","G1","R3","0","0","0"
"220","col_conc","G2","R1","0","0","0"
"221","col_conc","G2","R2","0","0","0"
"222","col_conc","G2","R3","0","0","0"
"223","col_conc","G3","R1","0","0","0"
"224","col_conc","G3","R2","0","0","0"
"225","col_conc","G3","R3","0","0","0"
"226","col_conc","G4","R1","0","0","0"
"227","col_conc","G4","R2","0","0","0"
"228","col_conc","G4","R3","0","0","0"
"229","col_conc","G5","R1","0","0","0"
"230","col_conc","G5","R2","0","0","0"
