Species,Well,Fila,Columna,Antibiotic,Concentration,SlopeR1,InterceptR1,RsquareR1,SlopeR2,InterceptR2,RsquareR2,SlopeR3,InterceptR3,RsquareR3,R1_GrowthRateRelativeToMax,R2_GrowthRateRelativeToMax,R3_GrowthRateRelativeToMax
Ca,D12,D,12,Chl,0.048828125,0.524145230658996,-5.33327235679778,0.985964814677566,0.545852243905057,-5.25069887070999,0.984294157701743,0.533785095335186,-5.31728841382698,0.981140755166146,0.970639316035178,1.010837488713070,0.988490917287381
Ca,E1,E,1,Ery,100,0,0,0,0,0,0,0,0,0,0,0,0
Ca,E2,E,2,Ery,50,-0.0270352018296441,-3.50023098525249,0.0844936239680219,0,0,0,0,0,0,-0.0500651885734150,0,0
Ca,E3,E,3,Ery,25,-0.0211968000126192,-3.32627766224109,0.0769950909482825,0,0,0,0,0,0,-0.0392533333567022,0,0
Ca,E4,E,4,Ery,12.5,-0.0692187770986931,-3.4564389901839,0.266823481906043,0.0108073049585618,-4.04722490299208,0.0175954504386507,-0.0114511252921118,-3.99310484697859,0.0145906711205719,-0.1281829205531350,0.0200135277010404,-0.0212057875779848
Ca,E5,E,5,Ery,6.25,0.146350998738834,-4.68020302624624,0.927321477658929,0.212255352329243,-4.92582681728347,0.97488845479722,0.201761794111237,-4.79270717647516,0.914497929620757,0.271020368034878,0.393065467276376,0.373632952057846
Ca,E6,E,6,Ery,3.125,0.290178279989679,-5.0149240643893,0.991766420518561,0.346837417121387,-5.0626515087434,0.982071198513873,0.295076922218009,-4.78313877447182,0.899311682364463,0.537367185166072,0.642291513187754,0.546438744848165
Ca,E7,E,7,Ery,1.5625,0.371191953123151,-5.14296048068839,0.987175113211533,0.377343103573248,-4.99748846214919,0.986977497775702,0.430847634433951,-5.22712674160875,0.98392111582348,0.687392505783613,0.698783525135644,0.797865989692502
Ca,E8,E,8,Ery,0.78125,0.403432474694152,-5.02004374100158,0.992697485836733,0.45404508486258,-5.20592374054389,0.985036157440621,0.422675957252215,-5.13895275014166,0.985355745338314,0.747097175359541,0.84082423122700,0.782733254170769
Ca,E9,E,9,Ery,0.390625,0.455626299083207,-5.19896613829055,0.985108222021666,0.454661250636474,-5.11698119064845,0.980573562815041,0.478547560197323,-5.22201135033195,0.986786177380419,0.843752405709643,0.841965278956433,0.886199185550598
Ca,E10,E,10,Ery,0.1953125,0.477077507570087,-5.28725685372459,0.983337678243403,0.481263372106205,-5.18138660477547,0.983104864213619,0.481714300628887,-5.21686422263001,0.984016660097158,0.883476865870531,0.891228466863343,0.892063519683124
Ca,E11,E,11,Ery,0.09765625,0.472943079245575,-5.24449087100495,0.984834217804579,0.485676614973112,-5.11995190252051,0.986463029119109,0.499866675540509,-5.2704084547686,0.98277971955633,0.875820517121435,0.899401138839096,0.925679028778720
Ca,E12,E,12,Ery,0.048828125,0.509740491461852,-5.30071471147485,0.986906464630458,0.524071045935369,-5.17717886318125,0.987139189202247,0.539099045586011,-5.32301542328996,0.989397964982082,0.943963873077504,0.970501936917350,0.998331565900020
Ca,F1,F,1,Gent,25,0,0,0,0,0,0,0,0,0,0,0,0
Ca,F2,F,2,Gent,12.5,0.124157244349073,-4.81422026664797,0.401092206787463,0.116407740434269,-4.94872059392974,0.508548962270247,0,0,0,0.229920822868654,0.215569889693091,0
